"Line Number/
мНЛЕП КХМХХ";"Maximum Design Press Mpa g/
лЮЙЯ.ПЮЯВЕРМНЕ ДЮБКЕМХЕ,лоЮ ХГА  ";"Operating Press
Mpa g/
пЮАНВЕЕ ДЮБКЕМХЕ, лоЮ ХГА";"Fluid Medium Group and Pipeline Category per GOST 32569-2013 Tab 5.1
цПСООЮ ЯПЕДШ Х ЙЮРЕЦНПХЪ РПСАНОПНБНДЮ ЯНЦКЮЯМН РЮАКХЖЕ 5.1 цняр 32569-2013 ";"Radiograhic Test/ Ultrasonic Test %/
пЮДХНЦПЮТХВЕЯЙХИ ЙНМРПНКЭ/сКЭРПЮГБСЙНБНИ ЙНМРПНКЭ, %";Liquid penetrant / лagnetic particle test  % / йЮОХККЪПМШИ / ЛЮЦМХРНОНПНЬЙНБШИ ЙНМРПНКЭ %;"Positive Material Identification/
йНМРПНКЭ УХЛХВЕЯЙНЦН ЯНЯРЮБЮ ЛЮРЕПХЮКЮ";"Hardness Test/
хЯОШРЮМХЕ МЮ РБЕПДНЯРЭ"
1-20-851002;0.7;0.2;а(А)-I / B(b)-I;0.2;1;NO/мер;"N/A
м/о"
1-20-851003;0.7;0.2;а(А)-I / B(b)-I;0.2;1;NO/мер;"N/A
м/о"
1-20-851004;0.7;0.2;а(А)-I / B(b)-I;0.2;1;YES/дю;"N/A
м/о"
1-20-851005;0.7;0.2;а(А)-I / B(b)-I;0.2;1;YES/дю;"N/A
м/о"
1-20-851006;0.7;0.2;а(А)-I / B(b)-I;0.2;1;YES/дю;"N/A
м/о"
1-20-851007;0.7;0.2;а(А)-I / B(b)-I;0.2;1;YES/дю;"N/A
м/о"
1-20-891002;1.6;0.6 / 0.7;"N/A
м/о";0.1;0;NO/мер;"N/A
м/о"
1-20-891003;1.6;0.3 / 0.4 / 0.7;"N/A
м/о";0.1;0;NO/мер;"N/A
м/о"
1-20-891006;1.6;0.6 / 0.7;"N/A
м/о";0.1;0;NO/мер;"N/A
м/о"
1-20-951001;1;0.6-0.8;B-III / C-III;0.1;0;YES/дю;"N/A
м/о"
1-20-951002;1;0.6-0.8;B-III / C-III;0.1;0;YES/дю;"N/A
м/о"
1-11-0B2001;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2002;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2003;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2004;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2005;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2006;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2007;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2008;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2009;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2010;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2011;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2012;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2013;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2014;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2015;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2016;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2017;3.6;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2018;3.6;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2019;3.6;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2020;3.6;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2021;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2022;9.8;6.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2023;9.8;6.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2024;9.8;6.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2025;8.34;6.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2026;8.34;6.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2027;8.34;6.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2028;3.6;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2031;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2032;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2033;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2034;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2035;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2036;9.8;5.80/6.6;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2037;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2038;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2039;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2040;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2041;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2042;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2043;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2044;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2045;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2046;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2047;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2048;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2049;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2050;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2051;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2052;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2053;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2054;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2055;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2056;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2057;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2058;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2059;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2060;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2061;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2062;9.8;5.80/6.6;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2063;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2064;9.8;5.80/6.6;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2065;9.8;7.2;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2066;9.8;5.8/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2067;9.8;5.8/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2068;9.8;5.8/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2069;1;0.79/0.88;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
1-11-0B2070;1;0.1/0.2;B-III/ V-III;0.1;0;NO/мер;YES/дю
1-11-0B2071;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2072;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2073;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2074;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
